longitude,latitude,Yield,crop,season
288.25,-35.25,13.748111,maize,major
288.75,-35.25,18.50832,maize,major
289.25,-35.25,17.60198,maize,major
292.25,-35.25,1.6458356,maize,major
294.25,-35.25,3.103416,maize,major
294.75,-35.25,4.285898,maize,major
295.25,-35.25,6.0102196,maize,major
295.75,-35.25,6.0741715,maize,major
296.25,-35.25,6.909461,maize,major
296.75,-35.25,8.509932,maize,major
297.25,-35.25,8.945251,maize,major
297.75,-35.25,8.150782,maize,major
298.25,-35.25,8.658425,maize,major
298.75,-35.25,8.6811495,maize,major
299.25,-35.25,8.529736,maize,major
299.75,-35.25,8.740383,maize,major
300.25,-35.25,8.510714,maize,major
300.75,-35.25,8.869638,maize,major
301.25,-35.25,8.933334,maize,major
301.75,-35.25,8.560667,maize,major
302.25,-35.25,7.291778,maize,major
142.75,-34.75,1.0694088,maize,major
143.25,-34.75,0.49288046,maize,major
143.75,-34.75,1.0163294,maize,major
144.25,-34.75,1.5101244,maize,major
144.75,-34.75,1.6936414,maize,major
145.25,-34.75,0.84173214,maize,major
145.75,-34.75,2.1348693,maize,major
146.25,-34.75,2.185935,maize,major
146.75,-34.75,1.4504421,maize,major
147.25,-34.75,1.8927157,maize,major
147.75,-34.75,2.906817,maize,major
148.25,-34.75,5.1184316,maize,major
288.25,-34.75,12.424791,maize,major
288.75,-34.75,16.330574,maize,major
289.25,-34.75,19.778183,maize,major
291.75,-34.75,3.2371058,maize,major
292.25,-34.75,3.1060247,maize,major
294.25,-34.75,2.7777314,maize,major
294.75,-34.75,5.1772323,maize,major
295.25,-34.75,6.24698,maize,major
295.75,-34.75,6.2549305,maize,major
296.25,-34.75,7.5446253,maize,major
296.75,-34.75,8.497529,maize,major
297.25,-34.75,8.193171,maize,major
297.75,-34.75,8.23531,maize,major
298.25,-34.75,8.573985,maize,major
298.75,-34.75,8.561096,maize,major
299.25,-34.75,8.368803,maize,major
299.75,-34.75,8.391708,maize,major
300.25,-34.75,8.938596,maize,major
300.75,-34.75,9.449655,maize,major
301.25,-34.75,8.7745495,maize,major
19.75,-34.25,1.1895912,maize,major
20.25,-34.25,0.6582954,maize,major
141.25,-34.25,0.68785346,maize,major
142.25,-34.25,0.8161628,maize,major
142.75,-34.25,0.24219394,maize,major
143.25,-34.25,1.1414915,maize,major
143.75,-34.25,2.0668926,maize,major
144.25,-34.25,1.2499986,maize,major
144.75,-34.25,0.9424212,maize,major
145.25,-34.25,1.2345297,maize,major
145.75,-34.25,1.8725655,maize,major
146.25,-34.25,1.9411817,maize,major
146.75,-34.25,0.94236875,maize,major
147.25,-34.25,1.5883062,maize,major
147.75,-34.25,1.657896,maize,major
148.25,-34.25,2.0113935,maize,major
288.75,-34.25,13.47706,maize,major
289.25,-34.25,14.694156,maize,major
293.75,-34.25,2.2142363,maize,major
294.25,-34.25,2.8598733,maize,major
294.75,-34.25,4.9650745,maize,major
295.25,-34.25,5.9697623,maize,major
295.75,-34.25,6.8850207,maize,major
296.25,-34.25,6.779865,maize,major
296.75,-34.25,7.8669066,maize,major
297.25,-34.25,7.9866986,maize,major
297.75,-34.25,8.5911045,maize,major
298.25,-34.25,8.294629,maize,major
298.75,-34.25,8.459247,maize,major
299.25,-34.25,9.022665,maize,major
299.75,-34.25,8.383323,maize,major
300.25,-34.25,8.063735,maize,major
300.75,-34.25,8.341225,maize,major
303.25,-34.25,7.2615995,maize,major
303.75,-34.25,7.28025,maize,major
304.25,-34.25,6.6014895,maize,major
304.75,-34.25,7.248662,maize,major
305.25,-34.25,8.049415,maize,major
